id,title,template,relationship,cast_size,logline,location,forbidden_elements,self_check,examples
1,给紧张感制造缓冲,"在一个________的高压场景中，
角色A正在用________方式认真处理问题，
但因为不知道________，
他的动作在即将完成时，
被角色B/另一条路径用________方式直接截胡。
最终目标人物/局面已经被处理完，
只剩角色A还维持着刚才那个费劲动作。
他停一秒，说：________。",救援|警匪,3~5,大高潮前的短缓冲,战争|灾难|瘟疫|空难|撤离,人物已死亡|严肃悲情,高压场景|局部合理的信息差|一套将成未成的动作|更简单路径突然生效|动作落空|短吐槽收尾,https://youtu.be/ijMkHhDekUU
2,你不认识我？,"角色A故意以一种带着优越感的方式出现在角色B面前展示_______，
等着B因为_______推测出A,甚至主动露出这种“你该懂了吧”的暗示,
B却只是(礼貌点头|困惑地看着他|以为是普通人|认错成别人|完全跳过重点)
下不来台的A（表面强撑|破口大骂|笑容僵住|尴尬）",名人|路人|粉丝|网红,2,自我认知与他人认知的落差,,暴力|羞辱|动用权势|辱骂|打人|敲诈勒索,"角色A本身得有一定辨识度避免让观众觉得他凭什么这么自信？|角色B的回应不能让人觉得是在装傻|角色A不能让观众过于讨厌",https://youtu.be/IYLMPTtx53I
3,师傅我要跟你在一起,"师傅要送走徒弟，周围人表示赞同
徒弟闪回与师傅的过往片段
喊出师傅
全程师傅要克制，徒弟要释放",师徒,2,师徒分离的场景,空旷的场地|出入口|海滩,混乱的场景|热闹的环境,一上来就爆情绪|全靠台词说|镜头一直怼脸|群像像背景板得有作用|最后一个空镜一段时间给观众消化,https://youtu.be/Zju3PKUEV2o
4,回扣,npc前期某个场景说____，后面在主角大事件过后npc再说一次_____,,,npc前面说的话，后面又在说了一次,,,伏笔回收：前面埋的信息，后面派上用场|回扣：前面的内容，后面被结构性地接回来|再提梗：前面的点，后面再说一次来打效果。,https://youtu.be/T1PLPuG9fnQ
5,价值体系拒绝,"先证明东西真的重要，反派对主角说xxx东西很重要，你拥有他就能xxx，
再证明反派真靠它控制，
再证明主角确实本该在乎然后主角轻声一句我不在乎，
最后让主角为了更高原则亲手毁掉它",敌对,2,通过主动放弃关键筹码，否定反派的控制逻辑，并完成角色价值宣言的桥段。,,主角前面表现很贪婪|反派太蠢,那个东西必须真的被建立为“重要”|主角的不在乎必须可信|打碎之后要真的付出代价,https://youtu.be/MtXE-ynI2tE
6,伏笔回收,,,,兑现角色前期说过的话,,,,https://youtu.be/BK1ElTrYEyE|https://youtu.be/_Vu6KMywdDA
7,心理外化 / 情绪外化,"环境：天气，光线，空间秩序，周围声音
客观对应物：熄灭的灯，停止的风车，掉落的叶子
动作：打开窗帘让阳光照进来",,,把人物原本在心里的变化，转成观众能看见、能感到的外部变化。,,对应变化的元素不能过多|外化的事物过于抢眼|过于老套（一哭就下雨）,角色要有（感知）一个对应的反应|对变化要有回应|观众猜不到,https://youtu.be/AJbQxmKtEgo
8,误导性剪辑,这是一种利用误导性剪辑完成的假承接桥段。前面先由角色台词建立体面化预期，再通过局部动作、声音和运动感让观众误以为预期已经实现，最后用一个全景或反打揭示真实情况，从而制造预期落差。桥段成立的关键，在于误导必须足够像真，揭底必须足够干脆，而且不能让角色被羞辱得失去观众好感。,,,通过误导性剪辑完成的假承接反转梗。前面先用台词和声音建立“他买了车”的预期，再通过镜头揭示真相，利用预期落差制造喜剧效果。,,重复使用|落差过小|提前解释|谜底需要解释,角色目标是不是足够容易脑补|揭底后有没有余味,https://youtu.be/TEhWRJvw2NI
9,严肃化处理的琐碎危机,,,,用很大的动作、很正经的演出、很像生死逃亡的镜头语言，去包装一个其实很小、很俗、很丢脸的现实问题。,,太明确的道德恶意|自己解释笑点|真相不够小|过长铺垫|小事要容易达成,揭示要不要太早|角色是否还保持“认真”|角色会不会因此失去好感,https://youtu.be/dN2nFC7W57Y
10,证打脸式喜剧反转。|这是什么鸟,"做了某个成果给 B。
B 第一反应非常负面。
A 不接受这个反馈，并把 B 的反应解释成“态度问题/情绪问题/偏见问题”。
A 为了证明自己有理，亲自重复一次同样行为。
A 的身体或现实反应直接推翻自己的判断。
A 试图找一个外部原因给自己留面子。
B 用一句很轻、很准的话定性：问题就在 A 这里。",非陌生人,2,A 先把问题定义成 B 的态度问题，结果自己亲口吃出了事实，把道理高地当场吃塌；B 最后再用一句轻描淡写的话，把锅稳稳盖回 A 身上。,,A翻车表情过于剧烈|B过度嘲讽谩骂|观众一开始知道A不行|A立刻完全认输|责任推得太离谱|A和B有关系基础,A前面的“道理”要站得住半拍|B的第一反应要足够直接（如果说味道有点怪就失去力度）|A必须亲自验证|A 的翻车不能太快，也不能太慢|找补要符合人物自尊|找补要符合人物自尊,https://youtu.be/fnbAlokIFNk
11,这是哪个省|跨海偷渡,"A需要得到B的低成本,
B做出合理的怀疑要更A周旋，
A要解释被B打断，无奈下A承认了B的怀疑
A使用碾压手段屈服B，继续最初的诉求",陌生人,2,使用高规格的手段去实现一个小的诉求,,武器过于敏感|对B造成伤害|A的解释过多,A的目标其实很小|B的怀疑逻辑是成立的|手段升级后A的目标始终不变|A的真实说法不为大众所接受|B最后的回答要正确,https://youtu.be/6MIHnyuxDjc
12,小身躯突然变身,小身躯冲向对手，然后突然变成巨兽,对手,2,小身躯冲向对手，然后突然变成巨兽,,巨兽形态停留不能太久|巨兽形态不能经常出现|角色不能只有巨兽这一招,观众是否能预判其攻击|变身是否够大,https://youtu.be/xH5w1RX3wa4|https://youtu.be/yEFy8851qmc
13,坠落转场,角色A在旧场景里摆出某个姿势，暂停后，进入新场景且动作被打断,,1,保持同一个姿势转场,,动作没打断,姿势转到另一个场景是否有停下,https://youtu.be/khyD1pQb7Uc
14,这是你师叔,"年轻人A领着一个小孩B看到中年人C,
中年人C对A说师傅， A指着B对C说这是你师叔，
C对B喊师叔。",师徒|辈分,3,"是身份秩序和外形年龄彻底错位。
最有戏的演法是：全员先当真，越认真越好笑。",,"B过于老陈,得意|过多人参与变成霸凌C|整个作品中存在不认辈分的|A过于炫耀和故意|A解释B的来历过多|C只是长得老实际和B一样|威胁C",A和C全程要严肃|A要自然|C要卡壳一小段给观众时间|C叫完后快速结束,https://youtu.be/rKtYRm4TO3g
15,全军出击,,,,门前蓄势 → 开门爆发 → 先锋冲出 → 后队压上 → 全队展开,,排队过门|平拍|在门口聚集修整|门后过于平静,队伍过门错落有致|过门后立刻展开行动|过门的一瞬间战场的声音立刻出现,https://youtu.be/pnUahBid03s
16,这不像你住的,"先把A拍成古风原子，
走到A的房间门口，B看着环境，低声说一句“你房间应该也很讲究吧。”
A很平淡回一句“差不多吧。”
再让门后冲出一个电玩二次元摇滚宇宙,让B对比",朋友,2,预期落差，不是误导性剪辑,,A进房前提前告知|进房后A介绍房间元素|B反应太夸张|从荒唐回到庄重,外院和房有色彩、声音、节奏上有明确变化|A要自然比如进来叫B坐,https://youtu.be/mzuAzZ6I75o
17,打车打劫,"角色B按常理理解现场
角色A揭示自己用了明显越界但高效的办法
B替观众给这件事定性
A仍坚持后双方用A方法",合作,2,正常任务逻辑 → A采用明显越界的高效方案 → B先误会成正常操作 → 真相揭示 → B负责给行为定性 → A用极度功利的理由回应 → 二人立即进入下一步,,过于写实的场景|违法手段过于详细|受害者受苦|A享受作恶|B轻易接受|A任何事都这样处理|赞扬违法行为|争论过久,A把越线行为合理|B一定要替观众说出|节奏变化2次|这场是不是有时间压力|A的越界是不是会让观众先愣一下|A和B是不是一个管结果一个管边界,https://youtu.be/doPjdJA88bk
18,战斗讲解员,"A：这个东西的作用是——
B突然抢话开始认真讲解。
现实突然出问题。
A被迫先去应对。
B还在讲。
A越来越狼狈。
A忍无可忍：“先别讲了，过来帮忙！”
B这才中断。",合作,2,B优先级错乱，题目已经变了A主动去解决，B还是执着于将上一道题解完,,A处理新问题过于华丽|B讲解是废话,A对新问题快失控了|B讲的完整|讲解和失控同时发生|B能感知现场的变化,https://youtu.be/kSVJSBydFPM
19,能够温柔地看待自己曾经的惨,"内在缺口被激活
缺口被具象化看见
角色对过去/遗憾/另一种人生完成一次凝视",亲情|爱情|友情|理想|故乡|平凡,,角色在现实里看到一个触发物，于是短暂看见了“自己失去/错过/本该拥有却没得到的那部分人生”。,,角色反应过大|不同于回忆杀，这是没有发生过的|幻想拍的过于mv|角色对幻想发表感言或是很大变化|变成成功学广告|幻想过长过完整|角色走进自己的幻想,承认想要过程但不是成功（在弹钢琴而不是在领奖）|角色看到幻想的时候是失神的|触发物越普通越好|铺垫是否足够|,https://youtu.be/NXmtwvoXXs4


